country,city,address,phone_store,firstname_customer,lastname_customer,email_customer,film,film_description,release_year
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"JADE BUNCH","A Insightful Panorama of a Squirrel And a Mad Cow who must Confront a Student in The First Manned Space Station",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"REUNION WITCHES","A Unbelieveable Documentary of a Database Administrator And a Frisbee who must Redeem a Mad Scientist in A Baloon Factory",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"ZORRO ARK","A Intrepid Panorama of a Mad Scientist And a Boy who must Redeem a Boy in A Monastery",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"SLUMS DUCK","A Amazing Character Study of a Teacher And a Database Administrator who must Defeat a Waitress in A Jet Boat",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"WONKA SEA","A Brilliant Saga of a Boat And a Mad Scientist who must Meet a Moose in Ancient India",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"YENTL IDAHO","A Amazing Display of a Robot And a Astronaut who must Fight a Womanizer in Berlin",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"CAROL TEXAS","A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"INSTINCT AIRPORT","A Touching Documentary of a Mad Cow And a Explorer who must Confront a Butler in A Manhattan Penthouse",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"GOODFELLAS SALUTE","A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"TRACY CIDER","A Touching Reflection of a Database Administrator And a Madman who must Build a Lumberjack in Nigeria",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"DRIFTER COMMANDMENTS","A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"ROCKY WAR","A Fast-Paced Display of a Squirrel And a Explorer who must Outgun a Mad Scientist in Nigeria",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"SWARM GOLD","A Insightful Panorama of a Crocodile And a Boat who must Conquer a Sumo Wrestler in A MySQL Convention",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"GANGS PRIDE","A Taut Character Study of a Woman And a A Shark who must Confront a Frisbee in Berlin",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"SONG HEDWIG","A Amazing Documentary of a Man And a Husband who must Confront a Squirrel in A MySQL Convention",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"DARKO DORADO","A Stunning Reflection of a Frisbee And a Husband who must Redeem a Dog in New Orleans",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"SPARTACUS CHEAPER","A Thrilling Panorama of a Pastry Chef And a Secret Agent who must Overcome a Student in A Manhattan Penthouse",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"PACIFIC AMISTAD","A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"PRIMARY GLASS","A Fateful Documentary of a Pastry Chef And a Butler who must Build a Dog in The Canadian Rockies",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"CHAPLIN LICENSE","A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"INTERVIEW LIAISONS","A Action-Packed Reflection of a Student And a Butler who must Discover a Database Administrator in A Manhattan Penthouse",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"JEDI BENEATH","A Astounding Reflection of a Explorer And a Dentist who must Pursue a Student in Nigeria",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"FEUD FROGMEN","A Brilliant Reflection of a Database Administrator And a Mad Cow who must Chase a Woman in The Canadian Rockies",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"CONTACT ANONYMOUS","A Insightful Display of a A Shark And a Monkey who must Face a Database Administrator in Ancient India",2006
Colombia,Buenaventura,"98 Stara Zagora Boulevard",610173756082,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,"EXPECATIONS NATURAL","A Amazing Drama of a Butler And a Husband who must Reach a A Shark in A U-Boat",2006
Colombia,"Dos Quebradas","241 Mosul Lane",765345144779,SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,"TEEN APOLLO","A Awe-Inspiring Drama of a Dog And a Man who must Escape a Robot in A Shark Tank",2006
Colombia,"Dos Quebradas","241 Mosul Lane",765345144779,SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,"MYSTIC TRUMAN","A Epic Yarn of a Teacher And a Hunter who must Outgun a Explorer in Soviet Georgia",2006
Colombia,"Dos Quebradas","241 Mosul Lane",765345144779,SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,"ROBBERY BRIGHT","A Taut Reflection of a Robot And a Squirrel who must Fight a Boat in Ancient Japan",2006
